date, close, del1, volume, del2, open, high, low, total, del3, del4
2018/06/29,"303,500","5,500","746,639","226,492,034,500","301,000","306,500","296,500","38,057,657","125,395,903"
2018/06/28,"298,000","-4,000","489,616","147,028,151,500","300,500","304,500","296,000","37,367,979","125,395,903"
2018/06/27,"302,000","1,000","833,334","252,732,110,000","299,500","308,500","297,500","37,869,563","125,395,903"
2018/06/26,"301,000","5,000","715,492","210,697,749,000","292,500","301,000","287,000","37,744,167","125,395,903"
2018/06/25,"296,000","500","488,058","144,517,413,000","299,500","301,000","293,000","37,117,187","125,395,903"
2018/06/22,"295,500","3,500","554,010","161,917,509,500","290,000","298,500","288,500","37,054,489","125,395,903"
2018/06/21,"292,000","-5,000","739,522","217,514,112,500","297,500","298,000","291,500","36,615,604","125,395,903"
2018/06/20,"297,000","9,500","944,458","280,080,293,500","291,500","302,000","290,500","37,242,583","125,395,903"
2018/06/19,"287,500","-17,500","1,278,723","374,801,649,000","306,000","307,500","286,500","36,051,322","125,395,903"
2018/06/18,"305,000","6,500","1,658,676","506,429,563,464","302,000","311,000","299,000","38,245,750","125,395,903"
2018/06/15,"298,500","18,500","1,851,466","543,856,828,500","281,000","300,000","280,000","37,430,677","125,395,903"
2018/06/14,"280,000","7,000","1,098,162","304,809,120,101","272,500","280,000","272,500","35,110,853","125,395,903"
2018/06/12,"273,000","5,500","662,069","180,350,610,500","269,500","275,500","269,000","34,233,082","125,395,903"
2018/06/11,"267,500","-2,000","327,679","87,992,983,000","269,000","270,500","267,000","33,543,404","125,395,903"
2018/06/08,"269,500","-1,500","413,575","112,073,572,000","271,000","275,000","268,000","33,794,196","125,395,903"
2018/06/07,"271,000","4,000","573,473","154,793,585,000","268,500","273,000","266,500","33,982,290","125,395,903"
2018/06/05,"267,000","500","397,529","106,605,925,500","270,000","271,000","265,500","33,480,706","125,395,903"
2018/06/04,"266,500","-7,000","679,298","182,187,347,500","272,500","273,500","264,000","33,418,008","125,395,903"
2018/06/01,"273,500","8,000","859,854","234,067,580,500","265,500","276,000","265,000","34,295,779","125,395,903"
2018/05/31,"265,500","-4,000","763,025","204,530,816,000","274,500","274,500","265,500","33,292,612","125,395,903"
2018/05/30,"269,500","-1,000","905,721","242,488,195,458","270,000","271,500","262,500","33,794,196","125,395,903"
2018/05/29,"270,500","-500","703,743","192,742,381,500","273,500","279,500","270,000","33,919,592","125,395,903"
2018/05/28,"271,000","-4,000","788,962","214,181,354,000","269,500","276,000","267,000","33,982,290","125,395,903"
2018/05/25,"275,000","10,500","1,410,032","385,957,602,500","264,500","280,000","264,500","34,483,873","125,395,903"
2018/05/24,"264,500","7,000","787,269","207,824,099,000","259,000","268,000","258,500","33,167,216","125,395,903"
2018/05/23,"257,500","-12,500","997,007","260,786,471,000","270,000","271,500","256,500","32,289,445","125,395,903"
2018/05/21,"270,000","0","362,669","98,082,414,500","271,000","273,000","268,000","33,856,894","125,395,903"
2018/05/18,"270,000","2,500","736,242","200,388,881,000","271,500","275,500","269,000","33,856,894","125,395,903"
2018/05/17,"267,500","-1,000","628,127","168,863,779,500","271,500","273,000","266,000","33,543,404","125,395,903"
2018/05/16,"268,500","500","1,098,811","297,363,664,500","271,000","273,500","267,000","33,668,800","125,395,903"
2018/05/15,"268,000","13,000","1,489,555","398,123,770,500","262,000","271,500","262,000","33,606,102","125,395,903"
2018/05/14,"255,000","-5,000","783,485","202,176,122,500","262,500","264,000","254,500","31,902,636","125,108,377"
2018/05/11,"260,000","1,000","1,034,512","271,387,975,000","257,000","267,500","256,000","32,528,178","125,108,377"
2018/05/10,"259,000","0","1,328,424","342,738,316,500","260,000","264,000","252,500","32,403,070","125,108,377"
2018/05/09,"259,000","23,000","2,553,475","627,567,754,500","235,000","264,500","234,000","32,403,070","125,108,377"
2018/05/08,"236,000","-14,000","1,422,120","350,591,142,500","251,000","256,000","234,000","29,525,577","125,108,377"
2018/05/04,"250,000","-12,000","1,087,480","277,186,307,500","262,500","264,000","249,000","31,277,094","125,108,377"
2018/05/03,"262,000","3,000","844,005","220,842,270,000","261,500","267,000","257,000","32,778,395","125,108,377"
2018/05/02,"259,000","-12,000","1,284,374","339,341,016,000","267,500","272,500","256,000","32,403,070","125,108,377"
2018/04/30,"271,000","-5,500","1,031,836","281,758,580,500","275,000","281,500","267,000","33,904,370","125,108,377"
2018/04/27,"276,500","19,500","1,351,327","364,299,832,000","265,500","278,000","260,000","34,592,466","125,108,377"
2018/04/26,"257,000","6,000","954,716","245,961,453,000","257,000","260,500","255,500","32,152,853","125,108,377"
2018/04/25,"251,000","2,500","1,327,901","331,839,669,000","245,500","256,500","244,000","31,402,203","125,108,377"
2018/04/24,"248,500","-2,000","1,681,692","425,818,882,500","251,000","260,500","248,000","31,089,432","125,108,377"
2018/04/23,"250,500","-18,500","1,984,284","506,268,698,500","265,000","267,500","249,500","31,339,648","125,108,377"
2018/04/20,"269,000","2,500","1,941,848","520,559,121,500","266,000","275,500","257,500","33,654,153","125,108,377"
2018/04/19,"266,500","-18,000","2,211,139","598,978,576,000","283,000","283,500","265,500","33,341,382","125,108,377"
2018/04/18,"284,500","-5,500","938,020","270,040,412,500","294,500","295,500","283,000","35,593,333","125,108,377"
2018/04/17,"290,000","-5,500","661,254","192,348,684,500","296,000","296,000","289,000","36,281,429","125,108,377"
2018/04/16,"295,500","5,500","823,788","244,155,768,500","289,500","302,000","289,500","36,247,928","122,666,424"
2018/04/13,"290,000","-8,500","986,753","287,102,364,000","295,000","295,000","286,500","35,573,263","122,666,424"
2018/04/12,"298,500","500","1,030,225","305,446,362,000","299,000","303,000","293,000","36,615,928","122,666,424"
2018/04/11,"298,000","-5,000","681,690","204,923,504,500","306,000","308,000","298,000","36,554,594","122,666,424"
2018/04/10,"303,000","-3,000","867,964","260,554,219,000","309,500","311,500","301,000","37,167,926","122,666,424"
2018/04/09,"306,000","14,000","1,134,927","344,649,265,500","298,500","310,000","293,000","37,535,926","122,666,424"
2018/04/06,"292,000","-3,000","660,697","194,474,775,000","296,000","300,500","291,500","35,818,596","122,666,424"
2018/04/05,"295,000","1,000","1,797,274","532,154,941,500","291,500","307,000","283,500","36,186,595","122,666,424"
2018/04/04,"294,000","-5,000","1,191,952","354,214,457,500","303,500","306,000","291,500","36,063,929","122,666,424"
2018/04/03,"299,000","-5,000","870,110","260,975,507,500","299,500","304,500","297,000","36,677,261","122,666,424"
2018/04/02,"304,000","-5,500","702,993","217,156,704,500","310,500","316,000","304,000","37,290,593","122,666,424"
2018/03/30,"309,500","-7,500","1,206,106","378,958,255,500","319,500","321,500","309,000","37,965,258","122,666,424"
2018/03/29,"317,000","27,500","1,955,696","598,509,625,500","297,000","318,000","295,000","38,885,256","122,666,424"
2018/03/28,"289,500","-7,500","2,566,693","733,905,945,500","292,000","294,000","280,500","35,511,930","122,666,424"
2018/03/27,"297,000","-3,000","1,135,219","342,910,444,500","307,000","308,500","297,000","36,431,928","122,666,424"
2018/03/26,"300,000","0","1,337,035","400,460,738,000","301,000","305,000","294,000","36,799,927","122,666,424"
2018/03/23,"300,000","-10,500","1,483,144","452,494,640,915","302,500","312,500","298,000","36,799,927","122,666,424"
2018/03/22,"310,500","-1,000","1,177,144","367,271,169,500","312,000","319,000","305,000","38,087,925","122,666,424"
2018/03/21,"311,500","-11,000","1,229,495","388,753,900,000","323,000","324,500","311,000","38,210,591","122,666,424"
2018/03/20,"322,500","3,500","1,160,725","370,202,345,500","316,000","325,000","312,500","39,559,922","122,666,424"
2018/03/19,"319,000","-5,000","846,578","273,580,832,500","327,000","329,500","317,500","39,130,589","122,666,424"
2018/03/16,"324,000","1,500","1,357,702","443,227,255,000","325,000","332,500","321,000","39,743,921","122,666,424"
2018/03/15,"322,500","16,000","2,002,241","638,626,208,500","313,000","327,500","310,500","39,559,922","122,666,424"
2018/03/14,"306,500","-4,500","1,904,376","588,289,271,500","306,500","316,000","303,500","37,597,259","122,666,424"
2018/03/13,"311,000","-11,000","2,979,719","928,061,718,000","321,000","321,000","305,000","38,149,258","122,666,424"
2018/03/12,"322,000","-4,000","2,575,956","836,618,615,500","324,000","333,500","313,500","39,498,589","122,666,424"
2018/03/09,"326,000","-28,000","3,558,669","1,199,931,956,500","345,500","355,000","323,000","39,989,254","122,666,424"
2018/03/08,"354,000","29,000","7,741,422","2,686,485,672,200","331,000","354,000","330,500","43,423,914","122,666,424"
2018/03/07,"325,000","-45,000","7,588,080","2,573,849,551,000","347,000","351,500","324,500","39,866,588","122,666,424"
2018/03/06,"370,000","-3,500","2,019,719","744,545,293,000","376,000","381,500","358,500","45,386,577","122,666,424"
2018/03/05,"373,500","1,500","3,136,351","1,179,653,007,000","386,500","392,000","357,000","45,815,909","122,666,424"
2018/03/02,"372,000","19,000","1,964,092","710,555,181,500","353,000","372,000","351,000","45,631,910","122,666,424"
2018/02/28,"353,000","2,000","2,414,626","855,558,162,500","342,500","364,500","342,000","43,301,248","122,666,424"
2018/02/27,"351,000","24,500","2,097,880","723,106,685,500","334,000","354,500","330,500","43,055,915","122,666,424"
